bank_txn_id,transaction_date,transaction_type,flow_direction,counterparty,amount,currency
BNK0000062,2025-02-12,Customer Receipt,Inflow,Aicha Vincent,4336.99,EUR
BNK0000063,2025-03-02,Customer Receipt,Inflow,Sarah Bernard,252.68,EUR
BNK0000064,2025-02-26,Customer Receipt,Inflow,Cap Sud Equipement SAS,7205.0,EUR
BNK0000065,01-26-2025,Customer Receipt,Inflow,Lea Konate,138.8,EUR
BNK0000066,2025-02-09,Customer Receipt,Inflow,Elodie Martinez,881.71,EUR
BNK0000067,2025-02-26,Customer Receipt,Inflow,Thomas Martin,1603.06,EUR
BNK0000068,2025-02-05,Customer Receipt,Inflow,Mariam Garcia,382.76,EUR
BNK0000069,2025-02-26,Customer Receipt,Inflow,Louis Michel,838.79,EUR
BNK0000070,2025-02-13,Customer Receipt,Inflow,Paul Konate,846.59,EUR
BNK0000071,2025-03-07,Customer Receipt,Inflow,Louis Petit,510.16,EUR
BNK0000072,2025-03-20,Customer Receipt,Inflow,Maxime Diallo,7561.54,EUR
BNK0000073,2025-02-23,Customer Receipt,Inflow,Louis Vincent,219.15,EUR
BNK0000074,2025-01-13,Customer Receipt,Inflow,Nova Retail SAS,2741.26,EUR
BNK0000075,2025-01-09,Customer Receipt,Inflow,Elite Habitat Services,16324.63,EUR
BNK0000076,2025-02-06,Customer Receipt,Inflow,Aicha Vincent,435.94,EUR
BNK0000077,2025-02-26,Customer Receipt,Inflow,Brahim Martinez,106.24,EUR
BNK0000078,2025-03-05,Customer Receipt,Inflow,Kora Logistics SARL,284.72,EUR
BNK0000079,2025-03-03,Customer Receipt,Inflow,Laura Bertrand,3064.66,EUR
BNK0000080,2025-03-11,Customer Receipt,Inflow,Kora Logistics SARL,598.09,EUR
BNK0000081,2025-01-16,Customer Receipt,Inflow,Soleil Distribution SAS,1155.12,EUR
BNK0000082,2025-02-07,Customer Receipt,Inflow,kevin traore,1942.58, Eur 
BNK0000083,2025-01-11,Customer Receipt,Inflow,Karim Roux,1036.85,EUR
BNK0000084,2025-02-01,Customer Receipt,Inflow,Atlas Trading Group,1255.88,EUR
BNK0000085,2025-03-06,Customer Receipt,Inflow,Sarah Bernard,89.54,EUR
BNK0000086,2025-02-13,Customer Receipt,Inflow,Azur Concept Services,3207.23,EUR
BNK0000087,2025-02-24,Customer Receipt,Inflow,Riviera Supply Holding,134.5,EUR
BNK0000088,2025-01-22,Customer Receipt,Inflow,Julie Diop,578.52,EUR
BNK0000089,2025-01-24,Customer Receipt,Inflow,Chloe Legrand,802.98,EUR
BNK0000090,2025-02-18,Customer Receipt,Inflow,Riviera Supply Holding,68.71,EUR
BNK0000091,2025-01-08,Customer Receipt,Inflow,Topline Solutions SARL,307.6,EUR
BNK0000092,2025-01-17,Customer Receipt,Inflow,Noemie Leroy,792.34,EUR
BNK0000093,2025-01-03,Customer Receipt,Inflow,Prestige Home Services,589.28,EUR
BNK0000094,2025-02-13,Customer Receipt,Inflow,Elite Habitat Holding,539.19,EUR
BNK0000095,2025-01-11,Customer Receipt,Inflow,Riviera Supply Group,203.29,EUR
BNK0000096,2025-03-31,Customer Receipt,Inflow,Thomas Dubois,6370.71,EUR
BNK0000097,2025-03-29,Customer Receipt,Inflow,Benoit Bamba,379.67,EUR
BNK0000098,2025-02-20,Customer Receipt,Inflow,Mediterra Shop Holding,110.85,EUR
BNK0000099,2025-02-14,Customer Receipt,Inflow,Riviera Supply Group,370.06,EUR
BNK0000100,2025-04-19,Customer Receipt,Inflow,Smart  Office  Holding,124.49,EUR
BNK0000101,2025-02-07,Customer Receipt,Inflow,Yassine Legrand,1143.03,EUR
BNK0000102,2025-02-22,Customer Receipt,Inflow,Blue Horizon SARL,1017.7,EUR
BNK0000103,2025-02-14,Customer Receipt,Inflow,Blue Horizon SARL,10571.6,EUR
BNK0000104,2025-03-11,Customer Receipt,Inflow,Julie Lefevre,2032.54,EUR
BNK0000105,2025-02-28,Customer Receipt,Inflow,Noemie Leroy,638.43,EUR
BNK0000106,2025-03-23,Customer Receipt,Inflow,Soleil Distribution Services,99.3,EUR
BNK0000107,2025-03-08,Customer Receipt,Inflow,Vision Commerce Group,83.07,EUR
BNK0000108,2025-03-07,Customer Receipt,Inflow,Azur Concept Services,2374.06,EUR
BNK0000109,2025-03-18,Customer Receipt,Inflow,Elite Habitat SARL,86.87,EUR
BNK0000110,2025-03-07,Customer Receipt,Inflow,Salome Michel,2271.48,EUR
BNK0000111,2025-02-02,Customer Receipt,Inflow,Prestige Home SAS,180.57,EUR
BNK0000112,2025-03-08,Customer Receipt,Inflow,Paul Konate,2427.02,EUR
BNK0000113,2025-03-15,Customer Receipt,Inflow,Florian Robert,182.72,EUR
BNK0000114,2025-03-16,Customer Receipt,Inflow,  brahim morel  , 184.14 ,EUR
BNK0000115,2025-03-25,Customer Receipt,Inflow,Kora Logistics SARL,995.17,EUR
BNK0000116,2025-03-03,Customer Receipt,Inflow,Camille Petit,5367.78,EUR
BNK0000117,2025-02-02,Customer Receipt,Inflow,Noemie Vincent,9772.16,EUR
  BNK0000118  ,2025-03-22,Customer Receipt,Inflow,Urban Motion SAS,12614.09,EUR
BNK0000119,2025-03-21,Customer Receipt,Inflow,Urban Motion SAS,812.93,EUR
BNK0000120,2025-02-25,Customer Receipt,Inflow,Prestige  Home  SARL,565.62,EUR
BNK0000121,2025-03-23,Customer Receipt,Inflow,Julie Roux, 259.49 ,EUR
BNK0000122,2025-04-13,Customer Receipt,Inflow,Urban Motion SAS,986.83,EUR
BNK0000123,2025-03-17,Customer Receipt,Inflow,Louis Petit,1274.74,EUR
BNK0000124,2025-03-02,Customer Receipt,Inflow,Emma Dubois,657.72,EUR
BNK0000125,2025-02-22,Customer Receipt,Inflow,Laura Diallo,489.26,EUR
BNK0000126,2025-03-19,Customer Receipt,Inflow,Julie Roux,1833.06,EUR
BNK0000127 ,2025-02-11,Customer Receipt,Inflow,Riviera Supply Group,2962.26,
BNK0000128,2025-03-11,Customer Receipt,Inflow,Mariam Garcia,65.59,EUR
BNK0000129,2025-02-17,Customer Receipt,Inflow,Morgane Vincent,133.08,EUR
BNK0000130,2025-02-25,Customer Receipt,Inflow,Yassine Legrand,1244.38,EUR
BNK0000131,2025-04-04,Customer Receipt,Inflow,Chloe Moreau,2311.81,EUR
BNK0000132,2025-02-08,Customer Receipt,Inflow,Riviera Supply Group,835.0,EUR
BNK0000133,2025-03-10,Customer Receipt,Inflow,Brahim Morel,437.36,EUR
BNK0000134,2025-02-09,Customer Receipt,Inflow,Blue Horizon SARL,215.0,EUR
BNK0000135,2025-03-20,Customer Receipt,Inflow,Elite Habitat SARL,226.87,EUR
BNK0000136,2025-02-03,Customer Receipt,Inflow,Atlas Trading Holding,1649.7,EUR
BNK0000137,2025-02-23,Customer Receipt,Inflow,Ines Simon,365.0,EUR
BNK0000138,2025-03-22,Customer Receipt,Inflow,Camille Bertrand,319.37,EUR
BNK0000139,2025-03-19,Customer Receipt,Inflow,Azur Concept SARL,542.34,EUR
BNK0000140,2025-02-18,Customer Receipt,Inflow,Nova Retail SAS,289.05,EUR
BNK0000141,2025-02-28,Customer Receipt,Inflow,Ahmed Lopez,1264.89,EUR
BNK0000142,2025-03-07,Customer Receipt,Inflow,Brahim Martinez,1152.88,EUR
BNK0000143,2025-03-29,Customer Receipt,Inflow,Vision Commerce Group,411.3,EUR
BNK0000144,2025-03-25,Customer Receipt,Inflow,Elite Habitat Holding,622.88,EUR
BNK0000145,2025-03-20,Customer Receipt,Inflow,Lea Diallo,258.23,EUR
BNK0000146,2025-02-17,Customer Receipt,Inflow,Ines Simon,855.63,EUR
BNK0000147,2025-02-18,Customer Receipt,Inflow,Elite Habitat Services,360.05,EUR
BNK0000148,2025-03-26,Customer Receipt,Inflow,Vision Commerce Holding,78.44,EUR
BNK0000149,2025-03-14,Customer Receipt,Inflow,Sarah Bernard,85.02,EUR
BNK0000150,2025-03-17,Customer Receipt,Inflow,Topline Solutions SAS ,2081.69,EUR
BNK0000151,2025-03-22,Customer Receipt,Inflow,Azur Concept Services,348.0,EUR
BNK0000152,2025-02-20,Customer Receipt,Inflow,Fatou Robert,180.14,EUR
BNK0000153,03-01-2025,Customer Receipt,Inflow,Dylan Traore,1273.24,EUR
BNK0000154,2025-03-09,Customer Receipt,Inflow,Salome Michel,189.81,EUR
BNK0000155,2025-04-06,Customer Receipt,Inflow,Thomas Thomas,362.02,EUR
BNK0000156,06-04-2025,Customer Receipt,Inflow,Antoine Dupont,82.4,EUR
BNK0000157,2025-03-12,Customer Receipt,Inflow,Smart Office Group,471.88,EUR
BNK0000158,2025-02-23,Customer Receipt,Inflow,Jade Richard,367.88,EUR
BNK0000159,2025-02-22,Customer Receipt,Inflow,Vision Commerce Services,286.17,EUR
BNK0000160,2025-02-01,Customer Receipt,Inflow,Florian Legrand,7644.91,EUR
BNK0000161,2025-03-25,Customer Receipt,Inflow,Benoit Bamba,836.36,EUR
BNK0000162,2025-03-31,Customer Receipt,Inflow,Noemie Laurent,193.44,EUR
BNK0000163,2025-02-21,Customer Receipt,Inflow,Jade Richard,71.85,eur
BNK0000164,2025-03-20,Customer Receipt,Inflow,Paul Bamba,977.99,EUR
BNK0000165,2025-03-24,Customer Receipt,Inflow,Atlas Trading Holding,574.6,EUR
BNK0000166,2025-02-26,Customer Receipt,Inflow,Chloe Legrand,636.2,EUR
BNK0000167,2025-02-18,Customer Receipt,Inflow,Topline Solutions SARL,2512.98,EUR
BNK0000168,2025-03-16,Customer Receipt,Inflow,Brahim Thomas,194.67,EUR
BNK0000169,2025-03-27,Customer Receipt,Inflow,Salome Michel,3177.25,EUR
BNK0000170,2025-03-25,Customer Receipt,Inflow,Salome Traore,6424.55,EUR
BNK0000171,2025-03-20,Customer Receipt,Inflow,Clara Roux,1157.27,EUR
BNK0000172,2025-03-25,Customer Receipt,Inflow,Camille Bertrand,1994.86,EUR
BNK0000173,2025-02-09,Customer Receipt,Inflow,Chloe Bamba,380.23,EUR
BNK0000174,2025-02-05,Customer Receipt,Inflow,Atlas Trading SARL,6539.38,EUR
BNK0000175,2025-02-27,Customer Receipt,Inflow,Mehdi Lambert,418.95,EUR
BNK0000176,2025-02-28,Customer Receipt,Inflow,Riviera Supply Group,607.25,EUR
BNK0000177,2025-02-17,Customer Receipt,Inflow,Chloe Bamba,3825.01,EUR
BNK0000178,2025-03-08,Customer Receipt,Inflow,Florian Robert,670.7,EUR
BNK0000179,2025-02-08,Customer Receipt,Inflow,Riviera Supply Group,290.33,EUR
BNK0000180,2025-03-11,Customer Receipt,Inflow,Aurelien Lefevre,89.63,EUR
BNK0000181,2025-04-05,Customer Receipt,Inflow,Julie Roux,535.84,EUR
BNK0000182,2025-02-26,Customer Receipt,Inflow,Elite Habitat Services,131.85,EUR
BNK0000183,2025-03-01,Customer Receipt,Inflow,Yassine Legrand,1834.64,EUR
BNK0000184,2025-02-28,Customer Receipt,Inflow,Elite Habitat SAS,1618.58,EUR
BNK0000185,2025-02-22,Customer Receipt,Inflow,Atlas Trading Holding,1397.45,EUR
BNK0000186,2025-04-03,Customer Receipt,Inflow,Camille Richard,1431.49,EUR
BNK0000187,2025-03-06,Customer Receipt,Inflow,elite habitat holding,39.6,EUR
BNK0000188,2025-03-09,Customer Receipt,Inflow,Riviera Supply Holding,545.91,EUR
BNK0000189,2025-03-26,Customer Receipt,Inflow,Brahim Morel,250.34,EUR
BNK0000190,2025-02-13,Customer Receipt,Inflow,Ines Simon,370.32,EUR
BNK0000191,2025-02-05,Customer Receipt,Inflow,Blue Horizon Holding,268.41,EUR
BNK0000192,2025-02-20,Customer Receipt,Inflow,Yassine Konate,741.91,eur
BNK0000193,2025-03-02,Customer Receipt,Inflow,Brahim Leroy,502.82,EUR
BNK0000194,2025-04-03,Customer Receipt,Inflow,AURELIEN LEFEVRE,282.56,EUR
BNK0000195,2025-02-24,Customer Receipt,Inflow,Fatou Robert,569.0,EUR
BNK0000196,2025-02-24,Customer Receipt,Inflow,Fatou Garcia,48.44,EUR
BNK0000197,2025-02-02,Customer Receipt,Inflow,NA,1353.8, Eur 
BNK0000198,2025-02-26,Customer Receipt,Inflow,Atlas Trading Group,4946.02,EUR
BNK0000199,2025-03-27,Customer Receipt,Inflow,Lea Lambert,102.24,EUR
BNK0000200,2025-03-20,Customer Receipt,Inflow,Salome Michel,2635.6,EUR
BNK0000201,2025-05-01,Customer Receipt,Inflow,Aicha Vincent,149.9,EUR
BNK0000202,2025-05-13,Customer Receipt,Inflow,Chloe Moreau,445.6,EUR
BNK0000203,2025-03-21,Customer Receipt,Inflow,Riviera Supply Group,2369.87,EUR
BNK0000204,2025-05-03,Customer Receipt,Inflow,Noemie Laurent,366.97,EUR
BNK0000205,2025-04-11,Customer Receipt,Inflow,Atlas Trading Holding,565.32,EUR
BNK0000206,2025-04-11,Customer Receipt,Inflow,Salome Michel, 2890.15 ,EUR
BNK0000207,2025-04-29,Customer Receipt,Inflow,Kora Logistics SARL,63.64,EUR
BNK0000208,2025-03-03,Customer Receipt,Inflow,Atlas Trading SAS,889.62,EUR
BNK0000209,2025-04-25,Customer Receipt,Inflow,Optima Conseil Group,1409.14,EUR
BNK0000210,08-05-2025,Customer Receipt,Inflow,Nicolas Durand,554.31,EUR
BNK0000211,2025-04-23,Customer Receipt,Inflow,Azur Concept SARL,90.07,EUR
BNK0000212,2025-05-01,Customer Receipt,Inflow,Topline Solutions SAS,2093.36,EUR
BNK0000213,2025-04-25,Customer Receipt,Inflow,Thomas Martin,632.84,EUR
BNK0000214,2025-04-02,Customer Receipt,Inflow,Optima Conseil Holding,1107.87,EUR
BNK0000215,2025-04-17,Customer Receipt,Inflow,Brahim Morel,449.81,EUR
BNK0000216,2025-04-24,Customer Receipt,Inflow,Salome Michel,42.32,EUR
BNK0000217,2025-05-09,Customer Receipt,Inflow,Hugo David,2720.46,EUR
BNK0000218,2025-03-20,Customer Receipt,Inflow,Noemie Vincent,4734.99,EUR
BNK0000219,2025-05-01,Customer Receipt,Inflow,Louis Petit,270.26,EUR
BNK0000220,2025-04-01,Customer Receipt,Inflow,Paul Dubois,2434.16,EUR
BNK0000221,2025-04-20,Customer Receipt,Inflow,Optima Conseil Group,1024.27,EUR
BNK0000222,2025-04-24,Customer Receipt,Inflow,Sarah Petit,3242.89,EUR
BNK0000223,2025-03-11,Customer Receipt,Inflow,Dylan Traore,1001.64,EUR
BNK0000224 ,2025-04-22,Customer Receipt,Inflow,Louis Petit,3065.01,EUR
BNK0000225,2025-03-20,Customer Receipt,Inflow,Riviera Supply Group,1569.78,EUR
BNK0000226,2025-04-15,Customer Receipt,Inflow,Brahim Martinez,38.93,EUR
BNK0000227,2025-04-21,Customer Receipt,Inflow,Thomas Martin,3022.67,EUR
BNK0000228,2025-05-14,Customer Receipt,Inflow,Louis Petit,656.62,EUR
BNK0000229,2025-03-13,Customer Receipt,Inflow,Alpha Partners SAS,649.86,EUR
BNK0000230,2025-04-05,Customer Receipt,Inflow,Bati Plus Group,1691.45,EUR
BNK0000231,2025-05-11,Customer Receipt,Inflow,Optima Conseil Group,1738.6,EUR
BNK0000232,2025-04-06,Customer Receipt,Inflow,Paul Leroy,3320.11,EUR
BNK0000233,2025-03-22,Customer Receipt,Inflow,Fatou  Garcia,86.72,eur
BNK0000234,2025-04-18,Customer Receipt,Inflow,Urban Motion Holding,66.18,EUR
BNK0000235,2025-04-18,Customer Receipt,Inflow,Benoit Bamba,1017.11,EUR
BNK0000236,2025-03-20,Customer Receipt,Inflow,Jade Lopez,75.14,EUR
BNK0000237,2025-04-06,Customer Receipt,Inflow,Bati Plus Group,129.06,EUR
BNK0000238,2025-03-26,Customer Receipt,Inflow,Elite Habitat Services,12306.46,EUR
BNK0000239,2025-03-14,Customer Receipt,Inflow,Azur Concept Services,413.72,EUR
BNK0000240,2025-05-18,Customer Receipt,Inflow,Optima Conseil Holding,753.79,EUR
BNK0000241,2025-04-28,Customer Receipt,Inflow,Salome Diallo,6339.76,EUR
BNK0000242,2025-05-15,Customer Receipt,Inflow,Soleil Distribution SARL,976.46,EUR
BNK0000243,2025-04-18,Customer Receipt,Inflow,Atlas Trading Holding,69.63,EUR
BNK0000244,2025-05-10,Customer Receipt,Inflow,Antoine Dupont,338.82,EUR
BNK0000245,2025-03-13,Customer Receipt,Inflow,blue horizon sarl,420.9,EURO
BNK0000246,2025-04-23,Customer Receipt,Inflow,Sarah Robert,1463.39,EUR
BNK0000247,2025-03-20,Customer Receipt,Inflow,Mehdi Moreau,388.25,EUR
BNK0000248,2025-04-24,Customer Receipt,Inflow,Urban Motion SAS,511.41,EUR
BNK0000249,04-19-2025,Customer Receipt,Inflow,azur concept sarl ,5793.63,EUR
BNK0000250,2025-05-01,Customer Receipt,Inflow,Camille Richard,324.76,EUR
BNK0000251,2025-04-15,Customer Receipt,Inflow,  Bati Plus Group  ,1912.94,EUR
BNK0000252,2025-03-19,Customer Receipt,Inflow,Alpha Partners Group,255.45,EUR
BNK0000253,2025-04-27,Customer Receipt,Inflow,Smart Office Services,44.33,EUR
BNK0000254,2025-03-24,Customer Receipt,Inflow,Laura Diallo,1205.56,EUR
BNK0000255,2025-03-08,Customer Receipt,Inflow,Atlas Trading SAS,1148.35,EUR
BNK0000256,2025-05-05,Customer Receipt,Inflow,Thomas Thomas,2279.05,EUR
BNK0000257,2025-05-08,Customer Receipt,Inflow,Fatou Petit,2670.83,EUR
BNK0000258,2025-03-18,Customer Receipt,Inflow,Salome Moreau,1143.29,EUR
BNK0000259,2025-03-14,Customer Receipt,Inflow,Jade Lopez,514.76,EUR
BNK0000260,2025-03-30,Customer Receipt,Inflow,Lucie Bertrand,1851.43,EUR
BNK0000261,2025-04-22,Customer Receipt,Inflow,Atlas Trading Holding,177.32,EUR
BNK0000262,2025-04-09,Customer Receipt,Inflow,Thomas Martin,5437.16,EUR
BNK0000263,2025-04-06,Customer Receipt,Inflow,Soleil Distribution Services,587.8,EUR
BNK0000264,2025-03-30,Customer Receipt,Inflow,Florian Robert,347.13,EUR
BNK0000265,2025-04-27,Customer Receipt,Inflow,Camille Diallo,552.46,EUR
BNK0000266,2025-05-02,Customer Receipt,Inflow,Mediterra Shop Holding,445.16,EUR
BNK0000267,2025-05-06,Customer Receipt,Inflow,Aurelien Lefevre,70.36,EUR
BNK0000268,2025-04-21,Customer Receipt,Inflow,Atlas Trading Holding,1777.9,EURO
BNK0000269,2025-04-15,Customer Receipt,Inflow,Thomas Dubois,486.23,EUR
BNK0000270,2025-03-14,Customer Receipt,Inflow,Noemie Bamba,141.3,EUR
BNK0000271,2025-05-01,Customer Receipt,Inflow,Vision Commerce Group,190.84,EUR
BNK0000272,2025-03-19,Customer Receipt,Inflow,Ahmed Lopez,1902.21,EUR
BNK0000273,2025-05-12,Customer Receipt,Inflow,Smart Office Holding,80.1,EUR
BNK0000274,2025-03-19,Customer Receipt,Inflow,Elite Habitat SAS,663.22,EUR
BNK0000275,2025-03-15,Customer Receipt,Inflow,Cap Sud Equipement Holding,1958.88,EUR
BNK0000276,2025-03-11,Customer Receipt,Inflow,Antoine Leroy,436.06,EUR
BNK0000277,2025-04-16,Customer Receipt,Inflow,Optima Conseil Group,594.32,EUR
BNK0000278,2025-04-01,Customer Receipt,Inflow,Aicha Vincent,3341.87,EUR
BNK0000279,2025-04-23,Customer Receipt,Inflow,Chloe Moreau,992.28,EUR
BNK0000280,2025-03-23,Customer Receipt,Inflow,Antoine Leroy,431.1,EUR
BNK0000281,2025-03-16,Customer Receipt,Inflow,Lucie Bertrand,4904.2,EUR
BNK0000282,2025-03-14,Customer Receipt,Inflow,Mehdi Fournier,398.27,EUR
  BNK0000283  ,2025-03-26,Customer Receipt,Inflow,Atlas Trading SAS,3545.67, Eur 
BNK0000284,2025-03-12,Customer Receipt,Inflow,Chloe Bamba,218.44,EUR
BNK0000285,2025-03-09,Customer Receipt,Inflow,Yassine Legrand,84.3,EUR
BNK0000286,2025-04-16,Customer Receipt,Inflow,Atlas Trading Holding,573.12,EUR
BNK0000287,2025-03-11,Customer Receipt,Inflow,Dylan Lambert,9027.93,EUR
BNK0000288,2025-04-14,Customer Receipt,Inflow,Maxime Bertrand,211.07,EUR
BNK0000289,2025-05-07,Customer Receipt,Inflow,Optima Conseil Services,525.14,EUR
BNK0000290,2025-04-21,Customer Receipt,Inflow,Hexa Services SARL,958.45,EUR
BNK0000291,2025-04-27,Customer Receipt,Inflow,Dylan Chevalier,3992.26,EUR
BNK0000292,2025-04-22,Customer Receipt,Inflow,Brahim Morel,465.17,EUR
BNK0000293,2025-05-10,Customer Receipt,Inflow,Camille Garnier,1094.98,EUR
BNK0000294,2025-03-23,Customer Receipt,Inflow,Romain Konate,308.52,EUR
BNK0000295,2025-03-31,Customer Receipt,Inflow,Cap Sud Equipement Holding,71.6,EUR
BNK0000296,2025-04-21,Customer Receipt,Inflow,Camille Diallo,2122.84,EUR
BNK0000297,2025-04-27,Customer Receipt,Inflow,Brahim Leroy,954.05,EUR
BNK0000298,2025-03-08,Customer Receipt,Inflow,Atlas Trading SARL,496.29,EUR
BNK0000299,2025-05-02,Customer Receipt,Inflow,Fatou Petit,303.05,EUR
BNK0000300,2025-04-24,Customer Receipt,Inflow,Thomas Dubois,795.95,EUR
BNK0000301,2025-05-07,Customer Receipt,Inflow,Nicolas Durand,502.59,EUR
BNK0000302,2025-05-03,Customer Receipt,Inflow,Paul Bamba,8188.8,EUR
BNK0000303,2025-04-27,Customer Receipt,Inflow,Louis David,80.35,EUR
BNK0000304,2025-03-26,Customer Receipt,Inflow,Bati Plus SARL,7158.58,EUR
BNK0000305,2025-05-14,Customer Receipt,Inflow,Hugo David,548.96,EUR
BNK0000306,2025-05-08,Customer Receipt,Inflow,Fatou Petit,378.19,EUR
BNK0000307,2025-03-14,Customer Receipt,Inflow,Alpha Partners SAS,1619.0,EUR
BNK0000308,2025-04-15,Customer Receipt,Inflow,Sarah Bernard,"174,85",EUR
BNK0000309,2025-04-22,Customer Receipt,Inflow,Sarah Robert,2149.72,EUR
BNK0000310,2025-03-15,Customer Receipt,Inflow,Topline Solutions SAS,93.79,EUR
  BNK0000311  ,2025-04-17,Customer Receipt,Inflow,Camille Diallo,503.06,EUR
